fact,category
"The human brain processes images 60,000 times faster than text",psychology
"Memory improves during sleep",psychology
"The average person has 50,000 thoughts per day",psychology
"The human attention span is 8 seconds",psychology
"Humans can only maintain 5-9 items in short-term memory",psychology
"The brain continues developing until age 25",psychology
"Multitasking reduces productivity by 40%",psychology
"The brain uses 20% of the body's energy",psychology
"Learning a new language improves decision-making",psychology
"People remember 10% of what they read",psychology 
